year,n_obs,actual_chg_mean,fitted_chg_mean,bias_chg,mae_chg,rmse_chg,actual_level_mean,fitted_level_mean,bias_level,mae_level,rmse_level,mape_level_pct
2009,36,0.2805393873383657,0.2699896327834055,0.010549754554960199,1.2331870280603974,1.5366968115885773,640.6433333333333,640.3801434271181,0.26318990621521404,7.876247484703678,9.809107015363361,1.232692090371945
2010,52,0.4680883688029999,0.30610724969716735,0.16198111910583263,1.0197600674260778,1.3326715193717387,711.0184615384616,709.8175429727544,1.20091856570709,7.207201098581364,9.395811069420025,1.0169114955001903
2011,23,0.034134754739176626,0.21348476746319428,-0.1793500127240177,1.0234178180822329,1.272841015035785,874.4139130434783,876.1008228792246,-1.6869098357462224,8.845234101738242,10.918300675386154,1.0234158276694156
2012,52,0.006329459033639095,-0.03945450675609901,0.04578396578973809,1.1374840316969277,1.4418025087810993,951.2442307692307,950.6695607311884,0.5746700380424403,10.772549829080306,13.525409479857135,1.138064733091302
2013,52,-0.052513594859028886,-0.005429504862311192,-0.04708408999671768,1.0398726232341775,1.3493643937238906,902.560576923077,902.8187972731382,-0.25822035006125843,9.455611523577106,12.32753190054143,1.0411977466878148
2014,52,-0.873988408028867,-0.5550258611800254,-0.3189625468488416,0.9385814551709601,1.189544178412236,807.0736538461539,809.3908302238672,-2.3171763777134187,7.4458185493786555,9.404390733740524,0.9404720143676658
2015,52,-0.4103608564780776,-0.0956119570175025,-0.31474889946057505,1.600719456998668,2.0802144147224664,532.0690384615384,533.4579728864584,-1.3889344249199185,8.314068047827439,10.53646236089548,1.6070168631672461
2016,53,0.4313597982911882,0.19500673867282262,0.23635305961836559,1.9414607560397374,2.3643683217713085,442.93018867924525,441.67320118290365,1.2569874963416392,8.530819661378928,10.317996600149323,1.934632019099084
2017,52,0.0360785697222942,0.03690934088772391,-0.0008307711654296821,1.9152952593703445,2.5434422225743587,523.3405769230769,523.2635231574594,0.07705376561753496,9.90853408477432,13.047843571989663,1.913799798345612
2018,43,0.48789048665100565,0.2880067259299712,0.1998837607210345,1.275840303647802,1.5462390614726522,621.8783720930232,620.4451657573048,1.433206335718394,7.897253739478234,9.559979630719289,1.2753384131526262
2019,2,-0.5656214947239224,-0.4001778024305817,-0.16544369229334077,1.3319681842264681,1.3422037323414087,616.25,617.2537671959994,-1.003767195999501,8.212754388752899,8.273867489496354,1.3342131159966453
2020,52,-0.4665511028656456,-0.5394133001652853,0.07286219729963969,2.298831142254845,2.9807277342984206,422.6851923076923,422.618942265722,0.06625004197030539,9.333617220476718,11.891394280798995,2.2885162962786345
2021,44,1.1720549307909032,1.0855462499533264,0.08650868083757675,1.215294330293558,1.5130776107307682,619.8277272727273,618.9156206893713,0.9121065833560054,7.535696926592771,9.450431341242036,1.213537197098865
