유종,정책명,카테고리,가격,시작일,종료일,데이터겹침일수,처리결과,사유
경유,수송용 유류세 10% 한시 인하,0,-10,2008-03-10,2008-12-31,261,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
경유,수송용 유류세 15% 한시 인하,0,-15,2018-11-06,2019-05-06,182,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
경유,수송용 유류세 7% 인하(단계적 환원),0,-7,2019-05-07,2019-08-31,117,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
경유,수송용 유류세 20% 한시 인하,0,-20,2021-11-12,2022-04-30,170,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
경유,수송용 유류세 30% 한시 인하 확대,0,-30,2022-05-01,2022-06-30,61,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
경유,수송용 유류세 37% 한시 인하 확대,0,-37,2022-07-01,2022-12-31,184,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
경유,"수송용 유류세 인하 유지(휘발유 25%, 경유 37%)",0,-37,2023-01-01,2024-06-30,547,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
경유,"수송용 유류세 인하 일부 환원(휘발유 20%, 경유 30%)",0,-30,2024-07-01,2024-10-31,123,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
경유,"수송용 유류세 인하 일부 환원(휘발유 15%, 경유 23%)",0,-23,2024-11-01,2025-04-30,181,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
경유,"수송용 유류세 인하 일부 환원(휘발유 10%, 경유 15%)",0,-15,2025-05-01,2025-10-31,184,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
경유,"수송용 유류세 인하 일부 환원(휘발유 7%, 경유 10%)",0,-10,2025-11-01,2026-03-26,146,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
경유,석유제품 1차 최고가격제,1,1713,2026-03-13,2026-03-26,14,정유사단계감사,정유사 공급가격 상한은 정유사 weekly 결과에서 별도 점검
경유,석유제품 2차 최고가격제,1,1923,2026-03-27,2026-04-09,14,정유사단계감사,정유사 공급가격 상한은 정유사 weekly 결과에서 별도 점검
경유,"중동전쟁 대응 유류세 인하 확대(휘발유 15%, 경유 25%)",0,-25,2026-03-27,2026-05-31,66,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
휘발유,수송용 유류세 10% 한시 인하,0,-10,2008-03-10,2008-12-31,261,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
휘발유,수송용 유류세 15% 한시 인하,0,-15,2018-11-06,2019-05-06,182,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
휘발유,수송용 유류세 7% 인하(단계적 환원),0,-7,2019-05-07,2019-08-31,117,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
휘발유,수송용 유류세 20% 한시 인하,0,-20,2021-11-12,2022-04-30,170,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
휘발유,수송용 유류세 30% 한시 인하 확대,0,-30,2022-05-01,2022-06-30,61,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
휘발유,수송용 유류세 37% 한시 인하 확대,0,-37,2022-07-01,2022-12-31,184,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
휘발유,"수송용 유류세 인하 유지(휘발유 25%, 경유 37%)",0,-25,2023-01-01,2024-06-30,547,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
휘발유,"수송용 유류세 인하 일부 환원(휘발유 20%, 경유 30%)",0,-20,2024-07-01,2024-10-31,123,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
휘발유,"수송용 유류세 인하 일부 환원(휘발유 15%, 경유 23%)",0,-15,2024-11-01,2025-04-30,181,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
휘발유,"수송용 유류세 인하 일부 환원(휘발유 10%, 경유 15%)",0,-10,2025-05-01,2025-10-31,184,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
휘발유,"수송용 유류세 인하 일부 환원(휘발유 7%, 경유 10%)",0,-7,2025-11-01,2026-03-26,146,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
휘발유,석유제품 1차 최고가격제,1,1724,2026-03-13,2026-03-26,14,정유사단계감사,정유사 공급가격 상한은 정유사 weekly 결과에서 별도 점검
휘발유,석유제품 2차 최고가격제,1,1934,2026-03-27,2026-04-09,14,정유사단계감사,정유사 공급가격 상한은 정유사 weekly 결과에서 별도 점검
휘발유,"중동전쟁 대응 유류세 인하 확대(휘발유 15%, 경유 25%)",0,-15,2026-03-27,2026-05-31,66,수치반영,유류세율(카테고리 0)은 주유소 적정가격에서 차감
